,_channel,_city,_country,_created_at,_golden,_id,_missed,_region,_started_at,_tainted,_trust,_unit_id,_updated_at,_worker_id,answer_match,answer_start_offset,answer_text,article_title,audio_feedback,audio_feedback_gold,audio_feedback_gold_reason,audio_url,distance_to_root,elocution,elocution_gold,elocution_gold_reason,feedback,feedback_gold,feedback_gold_reason,file_name,interruption,interruption_gold,interruption_gold_reason,length,length_gold,length_gold_reason,mp3,mp3_url,needs_met,needs_met_gold,needs_met_gold_reason,num_dependencies,ogg,orig__created_at,orig__golden,orig__unit_id,question,question_id,sentence_text,short_answer,short_answer_gold,short_answer_gold_reason,tts_engine
249,elite,Poole,GBR,1/24/2018 18:36:00,false,3303590237,,K5,1/24/2018 18:17:23,False,0.8333,1556117018,1/11/2018 16:21:09,39925494.0,0.0,317.0,Emperor Wu,Han_dynasty,it cuts off,,,,11.0,Good,,,,,,,Yes,,,Too long,,,Han_dynasty_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Han_dynasty_pauses.mp3,"No, it doesn't",,,45.0,Han_dynasty_pauses.ogg,1/11/2018 16:21:09,,1541829170.0,What Emperor initially created the quota system?,572f87eba23a5019007fc6fc,"He was the top civil and military leader of the commandery and handled defense, lawsuits, seasonal instructions to farmers and recommendations of nominees for office sent annually to the capital in a quota system first established by Emperor Wu.",,,,IBM
251,clixsense,Trevallyn,AUS,1/24/2018 23:03:32,false,3304532090,,06,1/24/2018 22:55:13,False,1.0,1556117018,1/11/2018 16:21:09,6330007.0,0.2222222222222222,317.0,Emperor Wu,Han_dynasty,,,,,11.0,Good,,,,,,,Yes,,,Too long,,,Han_dynasty_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Han_dynasty_pauses.mp3,Slightly,,,45.0,Han_dynasty_pauses.ogg,1/11/2018 16:21:09,,1541829170.0,What Emperor initially created the quota system?,572f87eba23a5019007fc6fc,"He was the top civil and military leader of the commandery and handled defense, lawsuits, seasonal instructions to farmers and recommendations of nominees for office sent annually to the capital in a quota system first established by Emperor Wu.",Will,,,IBM
253,prodege,Saint Peters,CAN,1/24/2018 16:48:37,false,3303288552,,NS,1/24/2018 16:37:38,False,1.0,1556117030,1/11/2018 16:21:09,44029695.0,1.0,901.0,the Orthodox Church,Middle_Ages,The eastern church was subsequently known as the orthodox church.,,,,10.0,Good,,,Too long.,,,,No,,,Too long,,,Middle_Ages_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Middle_Ages_pauses.mp3,"Yes, fully",,,56.0,Middle_Ages_pauses.ogg,1/11/2018 16:21:09,,1541829182.0,What was the eastern church subsequently known as?,56fb66c9b28b3419009f1d30,"The formal break came in 1054, when the papacy and the patriarchy of Constantinople clashed over papal supremacy and excommunicated each other, which led to the division of Christianity into two churches—the western branch became the Roman Catholic Church and the eastern branch the Orthodox Church.",the Orthodox church,,,IBM
255,instagc,Louisville,USA,1/24/2018 17:13:22,false,3303352079,,KY,1/24/2018 16:54:36,False,1.0,1556117030,1/11/2018 16:21:09,43755034.0,0.9090909090909092,901.0,the Orthodox Church,Middle_Ages,There is a long delay before the speaker says Orthodox Church,,,,10.0,Good,,,Shorter answers would be better,,,,Yes,,,Too long,,,Middle_Ages_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Middle_Ages_pauses.mp3,Highly,,,56.0,Middle_Ages_pauses.ogg,1/11/2018 16:21:09,,1541829182.0,What was the eastern church subsequently known as?,56fb66c9b28b3419009f1d30,"The formal break came in 1054, when the papacy and the patriarchy of Constantinople clashed over papal supremacy and excommunicated each other, which led to the division of Christianity into two churches—the western branch became the Roman Catholic Church and the eastern branch the Orthodox Church.",Orthodox church,,,IBM
257,bitcoinget,New York,USA,1/24/2018 18:11:03,false,3303511094,,NY,1/24/2018 17:51:05,False,1.0,1556117030,1/11/2018 16:21:09,43836884.0,1.0,901.0,the Orthodox Church,Middle_Ages,,,,,10.0,Moderate,,,,,,,No,,,OK,,,Middle_Ages_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Middle_Ages_pauses.mp3,"Yes, fully",,,56.0,Middle_Ages_pauses.ogg,1/11/2018 16:21:09,,1541829182.0,What was the eastern church subsequently known as?,56fb66c9b28b3419009f1d30,"The formal break came in 1054, when the papacy and the patriarchy of Constantinople clashed over papal supremacy and excommunicated each other, which led to the division of Christianity into two churches—the western branch became the Roman Catholic Church and the eastern branch the Orthodox Church.",The Orthodox Church,,,IBM
259,superrewards,Portsmouth,GBR,1/23/2018 02:18:25,false,3296173444,,K6,1/23/2018 02:10:20,False,1.0,1556117031,1/11/2018 16:21:09,44187123.0,1.0,312.0,Sir John Conroy,Queen_Victoria,,,,,10.0,Good,,,,,,,,,,Too long,,,Queen_Victoria_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Queen_Victoria_base.mp3,Highly,,,60.0,Queen_Victoria_base.ogg,1/11/2018 16:21:09,,1541829183.0,Who was the Duchess's suspected lover?,5724d2c40a492a190043562c,"Her mother was extremely protective, and Victoria was raised largely isolated from other children under the so-called ""Kensington System"", an elaborate set of rules and protocols devised by the Duchess and her ambitious and domineering comptroller, Sir John Conroy, who was rumoured to be the Duchess's lover.",Sir John Conroy,,,IBM
261,wannads,Hollywood,USA,1/23/2018 03:43:36,false,3296412067,,FL,1/23/2018 03:29:16,False,1.0,1556117031,1/11/2018 16:21:09,44176319.0,1.0,312.0,Sir John Conroy,Queen_Victoria,"The answer is clear, but there is some other information presented before it is reached.",,,,10.0,Moderate,,,The voice slows down at times.,,,,Yes,,,Too long,,,Queen_Victoria_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Queen_Victoria_base.mp3,"Yes, fully",,,60.0,Queen_Victoria_base.ogg,1/11/2018 16:21:09,,1541829183.0,Who was the Duchess's suspected lover?,5724d2c40a492a190043562c,"Her mother was extremely protective, and Victoria was raised largely isolated from other children under the so-called ""Kensington System"", an elaborate set of rules and protocols devised by the Duchess and her ambitious and domineering comptroller, Sir John Conroy, who was rumoured to be the Duchess's lover.",sir john conroy,,,IBM
263,instagc,El Paso,USA,1/23/2018 09:29:50,false,3297281260,,TX,1/23/2018 09:20:52,False,1.0,1556117031,1/11/2018 16:21:09,27770607.0,1.0,312.0,Sir John Conroy,Queen_Victoria,shorten it,,,,10.0,Moderate,,,,,,,No,,,Too long,,,Queen_Victoria_base.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Queen_Victoria_base.mp3,"Yes, fully",,,60.0,Queen_Victoria_base.ogg,1/11/2018 16:21:09,,1541829183.0,Who was the Duchess's suspected lover?,5724d2c40a492a190043562c,"Her mother was extremely protective, and Victoria was raised largely isolated from other children under the so-called ""Kensington System"", an elaborate set of rules and protocols devised by the Duchess and her ambitious and domineering comptroller, Sir John Conroy, who was rumoured to be the Duchess's lover.",sir john conroy,,,IBM
265,prodege,Roanoke,USA,1/23/2018 13:51:22,false,3298180569,,VA,1/23/2018 13:43:39,False,0.8333,1556117035,1/11/2018 16:21:09,40546641.0,0.0,906.0,wider range of audio,Gramophone_record,Make the question clearer so the answer can be clearer,,,,10.0,Moderate,,,,,,,Yes,,,Too short,,,Gramophone_record_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Gramophone_record_pauses.mp3,"No, it doesn't",,,65.0,Gramophone_record_pauses.ogg,1/11/2018 16:21:09,,1541829186.0,What benefits to vinyl have been found in the 1950s?,57279f213acd2414000de814,"This was done by the label mainly to take advantage of the wider audio frequency response that faster speeds like 78 rpm can provide for vinyl microgroove records, hence the label's name (obviously catering to the audiophiles of the 1950s ""hi-fi"" era, when stereo gear could provide a much wider range of audio than before).",,,,IBM
267,gifthunterclub,Manassas,USA,1/23/2018 23:16:02,false,3300085040,,VA,1/23/2018 23:02:57,False,0.8333,1556117035,1/11/2018 16:21:09,35473106.0,0.0,906.0,wider range of audio,Gramophone_record,I would put the answer to the query in the audio,,,,10.0,Moderate,,,,,,,Yes,,,Too long,,,Gramophone_record_pauses.mp3,https://bitbucket.org/varepsilon/squad-audio-data/raw/9c66d3e4cb623a548326795a0c55f6b5f89b201d/1-pilot/Gramophone_record_pauses.mp3,"No, it doesn't",,,65.0,Gramophone_record_pauses.ogg,1/11/2018 16:21:09,,1541829186.0,What benefits to vinyl have been found in the 1950s?,57279f213acd2414000de814,"This was done by the label mainly to take advantage of the wider audio frequency response that faster speeds like 78 rpm can provide for vinyl microgroove records, hence the label's name (obviously catering to the audiophiles of the 1950s ""hi-fi"" era, when stereo gear could provide a much wider range of audio than before).",,,,IBM
